,data size,Brier score,precision,recall,F1,profit,modified Brier score
47,561.0,335.57460188151254,0.5618374558303887,0.6943231441048034,0.62109375,-0.07488000000000022,50.664294159871496
48,571.0,336.3404206516867,0.5520833333333334,0.6943231441048034,0.6150870406189555,-0.08340000000000022,51.04380501593502
49,578.0,338.0296156578093,0.5622775800711743,0.6899563318777293,0.6196078431372548,-0.0690000000000002,52.363618961533405
50,586.0,338.8783045110687,0.5571428571428572,0.6812227074235808,0.612966601178782,-0.08762000000000023,53.2131879218935
51,595.0,339.3866178798822,0.5539568345323741,0.6724890829694323,0.6074950690335305,-0.0749800000000002,53.46172902713071
52,603.0,338.75794106582214,0.5567375886524822,0.6855895196506551,0.6144814090019569,-0.08514000000000023,52.446494337031545
53,611.0,338.78149393797037,0.558303886925795,0.6899563318777293,0.6171875,-0.06754000000000018,51.646262002327894
54,621.0,337.59548450266504,0.5609756097560976,0.7030567685589519,0.624031007751938,-0.09616000000000031,51.12395701974599
55,631.0,338.20188007299424,0.5709219858156028,0.7030567685589519,0.6301369863013698,-0.0955600000000003,52.30661719127666
56,641.0,338.2516700635387,0.5734767025089605,0.6986899563318777,0.6299212598425197,-0.11796000000000031,52.72886786575383
57,651.0,338.61426488687624,0.5740072202166066,0.6943231441048034,0.6284584980237155,-0.13284000000000035,53.618656146469476
58,661.0,337.6204828176975,0.5888888888888889,0.6943231441048034,0.6372745490981964,-0.12818000000000035,53.55314759299527
59,671.0,337.4966884090607,0.5787545787545788,0.6899563318777293,0.6294820717131474,-0.11812000000000036,52.60390029539331
60,681.0,338.42934125279976,0.5787545787545788,0.6899563318777293,0.6294820717131474,-0.11102000000000037,53.18906589169351
61,691.0,337.3892588571303,0.5729537366548043,0.7030567685589519,0.6313725490196078,-0.1226200000000004,51.34185668414378
62,701.0,336.04281356258025,0.579136690647482,0.7030567685589519,0.6351084812623273,-0.13500000000000034,50.88372145134391
63,711.0,336.5751746456945,0.5827338129496403,0.7074235807860262,0.6390532544378699,-0.1310000000000004,51.21910770659067
64,721.0,336.19568926180415,0.5719424460431655,0.6943231441048034,0.6272189349112426,-0.10688000000000028,51.19860405939714
65,731.0,335.88595962087976,0.5755395683453237,0.6986899563318777,0.631163708086785,-0.08284000000000022,50.81018141347098
66,741.0,335.70168957897806,0.5760869565217391,0.6943231441048034,0.6297029702970296,-0.08948000000000024,50.7862044620168
67,751.0,336.1190529583589,0.5719424460431655,0.6943231441048034,0.6272189349112426,-0.07564000000000021,50.68090652763561
68,761.0,335.76627453533604,0.5755395683453237,0.6986899563318777,0.631163708086785,-0.07130000000000021,50.302436947345605
