index,result,odds_home,odds_draw,odds_away,points_home,points_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,shots_given_home,shots_given_away,shots_conceded_home,shots_conceded_away,corners_difference_home,corners_difference_away
2021.0,draw,3.0,3.3,2.37,11,10,8,16,4,10,60,75,44,70,23,0
2022.0,home win,6.0,4.33,1.53,8,6,6,8,8,10,86,92,44,54,29,9
2023.0,draw,2.25,3.4,3.25,1,10,3,7,8,5,59,57,51,108,3,-20
2024.0,home win,1.44,4.5,7.5,6,2,3,7,3,10,73,61,52,51,16,14
2025.0,draw,2.04,3.3,3.9,3,7,4,5,6,4,47,61,57,54,-15,-1
2026.0,away win,1.66,3.6,5.75,10,8,8,5,4,4,68,46,71,77,0,-24
2027.0,home win,1.4,4.75,8.0,10,8,8,3,7,3,77,51,72,74,7,2
2028.0,home win,2.14,3.4,3.4,3,4,6,7,9,10,74,61,90,69,-13,-5
2029.0,home win,1.85,3.75,4.2,8,4,6,10,4,10,52,71,64,66,-21,2
2030.0,home win,3.1,3.3,2.3,2,8,6,6,11,6,64,88,59,43,9,25
2031.0,home win,1.64,4.0,5.0,4,2,10,5,10,9,64,80,69,47,-2,12
2032.0,home win,2.4,2.87,3.4,8,7,6,6,4,6,61,58,50,74,-9,-2
2033.0,home win,1.44,4.75,7.0,6,8,8,5,12,2,88,76,60,55,9,14
2034.0,away win,2.37,3.1,3.3,5,6,2,3,4,4,55,59,80,48,-4,-5
2035.0,draw,3.6,3.6,2.0,9,10,6,7,5,6,57,82,73,72,-13,9
2036.0,home win,1.25,6.5,11.0,10,6,16,7,10,7,73,74,63,75,9,-5
2037.0,home win,2.2,3.3,3.4,4,8,8,5,11,4,69,61,69,57,-4,-6
2038.0,draw,5.5,3.4,1.75,11,9,6,8,2,5,52,50,83,47,-24,15
2039.0,home win,2.75,3.4,2.54,8,3,8,4,7,6,50,49,125,54,-17,-9
2040.0,draw,2.62,2.9,3.0,8,8,6,7,5,3,66,70,50,48,3,-2
2041.0,home win,1.36,4.5,10.0,9,7,8,6,5,6,52,59,42,68,23,-12
2042.0,away win,6.5,4.33,1.5,4,10,4,14,9,8,60,66,78,56,-3,21
2043.0,draw,2.2,3.5,3.2,7,11,4,6,3,3,65,77,61,60,5,10
2044.0,away win,1.72,3.8,4.75,5,7,6,12,8,9,68,57,76,68,-16,-6
2045.0,home win,1.53,4.33,6.0,7,4,9,6,10,10,55,58,69,60,-5,5
2046.0,draw,1.75,3.8,4.5,7,8,5,9,6,6,83,61,42,103,22,-7
2047.0,away win,10.0,5.5,1.3,2,9,5,9,9,10,78,67,53,61,10,-5
2048.0,away win,1.61,3.6,6.5,7,2,5,3,5,8,53,69,51,74,-9,0
2049.0,home win,1.95,3.4,4.0,2,11,3,7,8,3,49,53,60,86,-4,-30
2050.0,draw,1.85,3.5,4.33,7,9,11,7,11,4,61,62,64,47,-5,9
2051.0,draw,2.7,3.2,2.7,8,7,9,5,6,4,98,70,46,59,25,10
2052.0,home win,2.25,3.1,3.5,6,7,6,6,4,5,60,69,58,47,-8,5
2053.0,home win,1.14,9.0,15.0,12,4,9,5,5,10,57,56,59,54,-8,9
2054.0,away win,5.75,3.4,1.72,4,9,4,9,8,5,64,50,86,48,-8,14
2055.0,away win,2.4,3.3,3.0,3,10,3,11,12,8,64,56,80,65,7,-11
2056.0,draw,3.5,3.2,2.14,2,5,4,7,8,9,78,72,43,71,17,-7
2057.0,away win,9.0,6.5,1.25,6,10,11,13,10,7,66,70,114,56,-17,12
2058.0,home win,1.44,4.5,7.0,9,8,5,5,3,3,73,42,65,97,6,-38
